Rk,Name,Age,Tm,PA,Outs,RC,RC/G,AIR,BAbip,BA,lgBA,OBP,lgOBP,SLG,lgSLG,OPS?,lgOPS,OPS+,OWn%,BtRuns,BtWins,TotA,SecA,ISO,PwrSpd,Pos Summary
1,Billy McKinney*\mckinbi01,25,TOR,3,1,1,26,99,0.667,0.667,0.243,0.667,0.319,0.667,0.414,1.333,0.733,270,0.961,0.7,0.1,2,0,0,,/7H9
2,Mitch Moreland*\morelmi01,34,BOS,79,45,23,13.3,103,0.341,0.328,0.248,0.430,0.325,0.746,0.423,1.177,0.748,209,0.877,10.4,1,1.378,0.582,0.418,0,3/H
3,Travis Blankenhorn*\blanktr01,23,MIN,4,2,1,13,98,0.333,0.333,0.242,0.500,0.317,0.667,0.412,1.167,0.730,219,0.873,0.6,0.1,1.5,0.333,0.333,,/4
4,Yolmer Sanchez#\sanchca01,28,CHW,21,12,5,10.8,98,0.400,0.313,0.242,0.476,0.317,0.688,0.412,1.164,0.730,217,0.831,3.1,0.3,1.333,0.688,0.375,0,/5HD641
5,Sam Huff\huffsa01,22,TEX,33,20,9,11.7,100,0.471,0.355,0.245,0.394,0.321,0.742,0.418,1.136,0.739,200,0.85,4.2,0.4,1.25,0.452,0.387,0,2
6,Randy Arozarena\arozara01,25,TBR,76,49,17,9,95,0.306,0.281,0.238,0.382,0.313,0.641,0.407,1.022,0.720,179,0.778,7.1,0.7,1.167,0.516,0.359,5.1,7/DH98
7,DJ LeMahieu\lemahdj01,31,NYY,216,128,50,10.2,97,0.370,0.364,0.241,0.421,0.316,0.590,0.411,1.011,0.726,177,0.813,20.6,2,1.087,0.333,0.226,4.6,435/HD
8,Oscar Hernandez\hernaos01,26,KCR,4,3,1,8.7,100,0.667,0.500,0.245,0.500,0.321,0.500,0.418,1.000,0.739,175,0.765,0.4,0,0.667,0,0,,/2H
9,Brian O'Grady*\ogradbr01,28,TBR,5,3,1,8.7,95,0.500,0.400,0.238,0.400,0.313,0.600,0.407,1.000,0.720,175,0.765,0.5,0.1,1.333,0.4,0.2,0,/387
10,Jose Ramirez#\ramirjo01,27,CLE,254,161,54,8.7,102,0.294,0.292,0.247,0.386,0.324,0.607,0.422,0.993,0.745,163,0.768,19.9,1.9,1.106,0.489,0.315,12.6,*5/D
11,Mike Trout\troutmi01,28,LAA,241,149,50,8.7,99,0.300,0.281,0.243,0.390,0.318,0.603,0.414,0.993,0.733,168,0.768,19.9,1.9,1.097,0.497,0.322,1.9,*8/D
12,Nelson Cruz\cruzne02,39,MIN,214,137,42,8,98,0.360,0.303,0.242,0.397,0.317,0.595,0.412,0.992,0.730,169,0.737,17.9,1.7,1.015,0.427,0.292,0,*D/H
13,José Abreu\abreujo02,33,CHW,262,175,51,7.6,98,0.350,0.317,0.242,0.370,0.317,0.617,0.412,0.987,0.730,166,0.718,21.3,2,0.971,0.375,0.3,0,*3/D
14,Salvador Perez\perezsa02,30,KCR,156,101,34,8.8,100,0.375,0.333,0.245,0.353,0.321,0.633,0.418,0.986,0.739,161,0.769,12.1,1.2,1.01,0.327,0.3,1.8,2/3D
15,Alejandro Kirk\kirkal01,21,TOR,25,15,6,10.4,99,0.421,0.375,0.243,0.400,0.318,0.583,0.414,0.983,0.733,166,0.82,2.1,0.2,1,0.25,0.208,0,/2DH
16,Jared Walsh*\walshja01,26,LAA,108,73,22,7.8,99,0.256,0.293,0.243,0.324,0.319,0.646,0.414,0.971,0.733,158,0.731,7.4,0.7,1,0.404,0.354,0,3/H9D
17,Ramon Urias\uriasra01,26,BAL,27,17,5,7.6,99,0.444,0.360,0.243,0.407,0.319,0.560,0.414,0.967,0.733,163,0.722,2.2,0.2,0.941,0.28,0.2,0,/64H
18,Brent Rooker\rookebr01,25,MIN,21,13,4,8,98,0.385,0.316,0.242,0.381,0.317,0.579,0.412,0.960,0.730,160,0.738,1.6,0.2,1,0.263,0.263,0,/9D7
19,Bobby Dalbec\dalbebo01,25,BOS,92,59,18,7.9,103,0.394,0.263,0.248,0.359,0.325,0.600,0.423,0.959,0.748,152,0.735,5.7,0.5,1.017,0.463,0.338,0,3/5D
